Exhibit,Metric,Category,Group,Year,Value,Question Target,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Risk considered relevant,Inaccuracy,All respondents,2023,56,People,,Last edited 12/5 @ 6:28pm
Generative AI-related risks that organizations consider relevant and are working to mitigate,Organization working to mitigate risk,Inaccuracy,All respondents,2023,32,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Risk considered relevant,Cybersecurity,All respondents,2023,53,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Organization working to mitigate risk,Cybersecurity,All respondents,2023,38,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Risk considered relevant,Intellectual-property infringement,All respondents,2023,46,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Organization working to mitigate risk,Intellectual-property infringement,All respondents,2023,25,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Risk considered relevant,Regulatory compliance,All respondents,2023,45,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Organization working to mitigate risk,Regulatory compliance,All respondents,2023,28,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Risk considered relevant,Explainability,All respondents,2023,39,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Organization working to mitigate risk,Explainability,All respondents,2023,18,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Risk considered relevant,Personal/individual privacy,All respondents,2023,39,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Organization working to mitigate risk,Personal/individual privacy,All respondents,2023,20,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Risk considered relevant,Workforce/labor displacement,All respondents,2023,34,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Organization working to mitigate risk,Workforce/labor displacement,All respondents,2023,13,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Risk considered relevant,Equity and fairness,All respondents,2023,31,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Organization working to mitigate risk,Equity and fairness,All respondents,2023,16,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Risk considered relevant,Organizational reputation,All respondents,2023,29,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Organization working to mitigate risk,Organizational reputation,All respondents,2023,16,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Risk considered relevant,National security,All respondents,2023,14,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Organization working to mitigate risk,National security,All respondents,2023,4,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Risk considered relevant,Physical safety,All respondents,2023,11,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Organization working to mitigate risk,Physical safety,All respondents,2023,6,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Risk considered relevant,Environmental impact,All respondents,2023,11,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Organization working to mitigate risk,Environmental impact,All respondents,2023,5,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Risk considered relevant,Political stability,All respondents,2023,10,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Organization working to mitigate risk,Political stability,All respondents,2023,2,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Risk considered relevant,None of the above,All respondents,2023,1,People,,
Generative AI-related risks that organizations consider relevant and are working to mitigate,Organization working to mitigate risk,None of the above,All respondents,2023,8,People,,
Top objectives for organizations' planned generative AI activities,Increase value of offerings by integrating AI-based features or insights,Share of respondents,AI high performers,2023,30,Organization,,
Top objectives for organizations' planned generative AI activities,Increase value of offerings by integrating AI-based features or insights,Share of respondents,All other respondents,2023,33,Organization,,
Top objectives for organizations' planned generative AI activities,Increase revenue from core business,Share of respondents,AI high performers,2023,27,Organization,,
Top objectives for organizations' planned generative AI activities,Increase revenue from core business,Share of respondents,All other respondents,2023,21,Organization,,
Top objectives for organizations' planned generative AI activities,Create new businesses and/or sources of revenue,Share of respondents,AI high performers,2023,23,Organization,,
Top objectives for organizations' planned generative AI activities,Create new businesses and/or sources of revenue,Share of respondents,All other respondents,2023,12,Organization,,
Top objectives for organizations' planned generative AI activities,Reduce costs in core business,Share of respondents,AI high performers,2023,19,Organization,,
Top objectives for organizations' planned generative AI activities,Reduce costs in core business,Share of respondents,All other respondents,2023,33,Organization,,
Elements that pose the biggest challenges in capturing value from AI ,Models and tools,Share of respondents,AI high performers,2023,24,People,,
Elements that pose the biggest challenges in capturing value from AI ,Models and tools,Share of respondents,All other respondents,2023,6,People,,
Elements that pose the biggest challenges in capturing value from AI ,Talent,Share of respondents,AI high performers,2023,20,People,,
Elements that pose the biggest challenges in capturing value from AI ,Talent,Share of respondents,All other respondents,2023,15,People,,
Elements that pose the biggest challenges in capturing value from AI ,Adoption and scaling,Share of respondents,AI high performers,2023,19,People,,
Elements that pose the biggest challenges in capturing value from AI ,Adoption and scaling,Share of respondents,All other respondents,2023,13,People,,
Elements that pose the biggest challenges in capturing value from AI ,Technology,Share of respondents,AI high performers,2023,13,People,,
Elements that pose the biggest challenges in capturing value from AI ,Technology,Share of respondents,All other respondents,2023,18,People,,
Elements that pose the biggest challenges in capturing value from AI ,Data,Share of respondents,AI high performers,2023,11,People,,
Elements that pose the biggest challenges in capturing value from AI ,Data,Share of respondents,All other respondents,2023,24,People,,
Elements that pose the biggest challenges in capturing value from AI ,Strategy,Share of respondents,AI high performers,2023,11,People,,
Elements that pose the biggest challenges in capturing value from AI ,Strategy,Share of respondents,All other respondents,2023,24,People,,
Elements that pose the biggest challenges in capturing value from AI ,Other,Share of respondents,AI high performers,2023,1,People,,
Elements that pose the biggest challenges in capturing value from AI ,Other,Share of respondents,All other respondents,2023,2,People,,
